DATE,FBE,BTCDR,CRYPT,FBEDR,FFL,TBE
31/3/2014,1.7,0.046770138,,0.005882353,0.00390625,0.004694836
1/4/14,1.71,-0.086198066,,0.005847953,-0.003891051,0
2/4/14,1.72,0.017335407,,-0.023255814,0.015625,0
3/4/14,1.68,0.006314114,,0.017857143,-0.019230769,-0.004672897
4/4/14,1.71,0.032134446,,-0.019493177,0.010457516,-0.001564945
5/4/14,1.676666667,-0.003048233,,-0.019880716,0.010349288,-0.001567398
6/4/14,1.643333333,-0.024052169,,-0.020283975,0.010243278,-0.001569859
7/4/14,1.61,0.008150451,,0.062111801,-0.045627376,-0.004716981
8/4/14,1.71,-0.022867623,,-0.005847953,0.027888446,0.014218009
9/4/14,1.7,-0.175162912,,-0.005882353,0.003875969,0
10/4/14,1.69,0.152723618,,-0.029585799,0.011583012,-0.004672897
11/4/14,1.64,0.000401476,,0.014227642,-0.008905852,0
12/4/14,1.663333333,-0.016748354,,0.014028057,-0.00898588,0
13/4/2014,1.686666667,0.108012549,,0.013833992,-0.009067357,0
14/4/2014,1.71,0.123802549,,-0.01754386,0.019607843,0.004694836
15/4/2014,1.68,0.022904035,,0.029761905,0.003846154,0.014018692
16/4/2014,1.73,-0.059598593,,0.12716763,-0.053639847,0.01843318
17/4/2014,1.95,-0.032901648,,0.002564103,-0.004048583,-0.001131222
18/4/2014,1.955,0.045700466,,0.002557545,-0.004065041,-0.001132503
19/4/2014,1.96,-0.006772801,,0.00255102,-0.004081633,-0.001133787
20/4/2014,1.965,-0.004807615,,0.002544529,-0.004098361,-0.001135074
21/4/2014,1.97,-0.015831842,,0.005076142,0.004115226,0.004545455
22/4/2014,1.98,0.006925259,,0,0,0
23/4/2014,1.98,0.01864837,,0.005050505,-0.004098361,0
24/4/2014,1.99,-0.077959498,,-0.015075377,0.004115226,-0.004524887
25/4/2014,1.96,-0.006171863,,-0.00170068,-0.004098361,-0.003030303
26/4/2014,1.956666667,-0.048432079,,-0.001703578,-0.004115226,-0.003039513
27/4/2014,1.953333333,0.008925502,,-0.001706484,-0.004132231,-0.003048781
28/4/2014,1.95,0.015726177,,0,0,0
29/4/2014,1.95,0.000974936,,0.005128205,-0.004149378,0
30/4/2014,1.96,0.02259603,,0,0.016666667,0.009174312
1/5/14,1.96,-0.01831309,,-0.005102041,-0.004098361,-0.004545455
2/5/14,1.95,-0.025846895,,-0.005128205,0.001371742,-0.00152207
3/5/14,1.94,-0.003104427,,-0.005154639,0.001369863,-0.001524391
4/5/14,1.93,-0.006693355,,-0.005181347,0.001367989,-0.001526717
5/5/14,1.92,-0.010427192,,-0.005208333,-0.012295082,-0.009174312
6/5/14,1.91,0.022983388,,0.005235602,0.029045643,0.018518519
7/5/14,1.92,0.003071868,,0.005208333,-0.012096774,-0.004545455
8/5/14,1.93,0.021110074,,-0.005181347,-0.004081633,-0.00456621
9/5/14,1.92,0.011062139,,-0.001736111,0.00136612,0
10/5/14,1.916666667,-0.034211864,,-0.001739131,0.001364257,0
11/5/14,1.913333333,0.005869406,,-0.00174216,0.001362398,0
12/5/14,1.91,-0.001791774,,-0.010471204,-0.008163265,-0.009174312
13/5/2014,1.89,0.007490849,,0.015873016,-0.004115226,0.00462963
14/5/2014,1.92,0.007387853,,0.020833333,0,0.00921659
15/5/2014,1.96,0.001802116,,-0.010204082,0,-0.00456621
16/5/2014,1.94,0.001885917,,-0.001718213,-0.00137741,-0.001529052
17/5/2014,1.936666667,-0.005878776,,-0.001721171,-0.001379311,-0.001531394
18/5/2014,1.933333333,-0.000185989,,-0.001724138,-0.001381215,-0.001533742
19/5/2014,1.93,0.088625468,,-0.005181347,0.004149378,0
20/5/2014,1.92,0.012447398,,0.015625,-0.004132231,0.004608295
21/5/2014,1.95,0.066716148,,0.01025641,0.01659751,0.013761468
22/5/2014,1.97,-0.008305708,,0,0.008163265,0.004524887
23/5/2014,1.97,0.009449812,,-0.002538071,0,-0.001126126
24/5/2014,1.965,0.08845294,,-0.002544529,0,-0.001127396
25/5/2014,1.96,0.020707223,,-0.00255102,0,-0.001128668
26/5/2014,1.955,-0.020876755,,-0.002557545,0,-0.001129944
27/5/2014,1.95,0.01018479,,-0.005128205,0.012145749,0.004524887
28/5/2014,1.94,-0.01539176,,0.010309278,0,0.004504505
29/5/2014,1.96,0.082975466,,-0.015306122,0.004,-0.004484305
30/5/2014,1.93,0.013573315,,0,0,0
31/5/2014,1.93,0.010505438,,0,0,0
1/6/14,1.93,0.048218981,,0,0,0
2/6/14,1.93,0.01057646,,-0.005181347,-0.019920319,-0.013513514
3/6/14,1.92,-0.038931704,,-0.010416667,-0.008130081,-0.00913242
4/6/14,1.9,0.0274994,,0.010526316,0,0.004608295
5/6/14,1.92,-0.008427657,,0.005208333,0.012295082,0.009174312
6/6/14,1.93,0.001938192,,0.003454232,0,0.001515151
7/6/14,1.936666667,0.001787871,,0.00344234,0,0.00151286
8/6/14,1.943333333,-0.010639498,,0.003430532,0,0.001510574
9/6/14,1.95,0.006147955,,-0.005128205,0.004048583,0
10/6/14,1.94,-0.030819873,,0,0.008064516,0.004524887
11/6/14,1.94,-0.072774952,,0.005154639,-0.028,-0.013513514
12/6/14,1.95,0.022507803,,-0.01025641,0.008230453,0
13/6/2014,1.93,-0.037998011,,-0.001727116,0.004081633,0.00152207
14/6/2014,1.926666667,0.026983258,,-0.001730104,0.004065041,0.001519757
15/6/2014,1.923333333,-0.001263203,,-0.001733102,0.004048583,0.001517451
16/6/2014,1.92,0.031537282,,0.026041667,0.004032258,0.013636364
17/6/2014,1.97,-0.004757196,,0.005076142,-0.004016064,0
18/6/2014,1.98,-0.016262637,,0.02020202,0,0.00896861
19/6/2014,2.02,-0.006562766,,0,0.024193548,0.013333333
20/6/2014,2.02,0.001423892,,0.001650165,-0.001312336,0
21/6/2014,2.023333333,0.012237139,,0.001647447,-0.001314061,0
22/6/2014,2.026666667,-0.013762862,,0.001644737,-0.001315789,0
23/6/2014,2.03,-0.019574601,,0.009852217,-0.007905138,0
24/6/2014,2.05,-0.027510616,,-0.009756098,0.007968127,0
25/6/2014,2.03,0.026134662,,-0.004926108,-0.003952569,-0.004385965
26/6/2014,2.02,0.027745609,,0.004950495,-0.003968254,0
27/6/2014,2.03,-0.001192109,,-0.004926108,0.001328021,-0.001468429
28/6/2014,2.02,0.010336117,,-0.004950495,0.00132626,-0.001470589
29/6/2014,2.01,0.061524933,,-0.004975124,0.001324503,-0.001472754
30/6/2014,2,0.001577063,,0,0,0
1/7/14,2,0.015719266,,0.005,-0.003968254,0
2/7/14,2.01,-0.008792725,,0.009950249,0.007968127,0.008849558
3/7/14,2.03,-0.022419384,,-0.002463054,0,-0.001096491
4/7/14,2.025,0.001212953,,-0.002469136,0,-0.001097695
5/7/14,2.02,0.00688883,,-0.002475248,0,-0.001098901
6/7/14,2.015,-0.01843484,,-0.00248139,0,-0.00110011
7/7/14,2.01,0.001172915,,-0.009950249,0.007905138,0
8/7/14,1.99,-0.000457733,,-0.005025126,0.019607843,0.008810573
